ID,Type,Status,URL,Notes
15860,Project,In URL file but missing from API,https://mininghub.com/project/cameron-river/15860,URL exists but project not found in API response
17494,Project,In URL file but missing from API,https://mininghub.com/project/mount-isa-valley/17494,URL exists but project not found in API response
13041,Project,In URL file but missing from API,https://mininghub.com/project/sagay/13041,URL exists but project not found in API response
8594,Project,In URL file but missing from API,https://mininghub.com/project/lake-george/8594,URL exists but project not found in API response
6571,Project,In URL file but missing from API,https://mininghub.com/project/fayolle/6571,URL exists but project not found in API response
8419,Project,In URL file but missing from API,https://mininghub.com/project/koolyanobbing/8419,URL exists but project not found in API response
16872,Project,In URL file but missing from API,https://mininghub.com/project/laminia-jv/16872,URL exists but project not found in API response
15725,Project,In URL file but missing from API,https://mininghub.com/project/canterbury/15725,URL exists but project not found in API response
8097,Project,In URL file but missing from API,https://mininghub.com/project/white-mountain/8097,URL exists but project not found in API response
15982,Project,In URL file but missing from API,https://mininghub.com/project/husky/15982,URL exists but project not found in API response
7223,Project,In URL file but missing from API,https://mininghub.com/project/leonora-jv/7223,URL exists but project not found in API response
16080,Project,In URL file but missing from API,https://mininghub.com/project/ganab-west/16080,URL exists but project not found in API response
5533,Project,In URL file but missing from API,https://mininghub.com/project/side-well/5533,URL exists but project not found in API response
17838,Project,In URL file but missing from API,https://mininghub.com/project/kounahiri-west/17838,URL exists but project not found in API response
16981,Project,In URL file but missing from API,https://mininghub.com/project/lyonsbangemall/16981,URL exists but project not found in API response
7719,Project,In URL file but missing from API,https://mininghub.com/project/apui-regional/7719,URL exists but project not found in API response
7495,Project,In URL file but missing from API,https://mininghub.com/project/mcewen-hills/7495,URL exists but project not found in API response
7621,Project,In URL file but missing from API,https://mininghub.com/project/tombstone/7621,URL exists but project not found in API response
17230,Project,In URL file but missing from API,https://mininghub.com/project/mt-walton/17230,URL exists but project not found in API response
16960,Project,In URL file but missing from API,https://mininghub.com/project/lago/16960,URL exists but project not found in API response
8532,Project,In URL file but missing from API,https://mininghub.com/project/beyondie/8532,URL exists but project not found in API response
8581,Project,In URL file but missing from API,https://mininghub.com/project/wandanya/8581,URL exists but project not found in API response
7763,Project,In URL file but missing from API,https://mininghub.com/project/mountain-home/7763,URL exists but project not found in API response
8969,Project,In URL file but missing from API,https://mininghub.com/project/huber-heights/8969,URL exists but project not found in API response
16514,Project,In URL file but missing from API,https://mininghub.com/project/corkwood/16514,URL exists but project not found in API response
15570,Project,In URL file but missing from API,https://mininghub.com/project/nueva-sabana-el-pilar/15570,URL exists but project not found in API response
15787,Project,In URL file but missing from API,https://mininghub.com/project/liwale/15787,URL exists but project not found in API response
8358,Project,In URL file but missing from API,https://mininghub.com/project/grad/8358,URL exists but project not found in API response
12973,Project,In URL file but missing from API,https://mininghub.com/project/corrente/12973,URL exists but project not found in API response
7287,Project,In URL file but missing from API,https://mininghub.com/project/killaloe/7287,URL exists but project not found in API response
17487,Project,In URL file but missing from API,https://mininghub.com/project/waterlander/17487,URL exists but project not found in API response
5779,Project,In URL file but missing from API,https://mininghub.com/project/kanowna-belle-red-hill-deposit/5779,URL exists but project not found in API response
7244,Project,In URL file but missing from API,https://mininghub.com/project/anglo-saxon/7244,URL exists but project not found in API response
8967,Project,In URL file but missing from API,https://mininghub.com/project/harden/8967,URL exists but project not found in API response
4690,Project,In URL file but missing from API,https://mininghub.com/project/kinebik/4690,URL exists but project not found in API response
17298,Project,In URL file but missing from API,https://mininghub.com/project/elsie/17298,URL exists but project not found in API response
16719,Project,In URL file but missing from API,https://mininghub.com/project/copper-field/16719,URL exists but project not found in API response
17432,Project,In URL file but missing from API,https://mininghub.com/project/cue-north/17432,URL exists but project not found in API response
17553,Project,In URL file but missing from API,https://mininghub.com/project/hamilton-creek/17553,URL exists but project not found in API response
16559,Project,In URL file but missing from API,https://mininghub.com/project/malbooma-railway/16559,URL exists but project not found in API response
8870,Project,In URL file but missing from API,https://mininghub.com/project/gulf-creek/8870,URL exists but project not found in API response
16091,Project,In URL file but missing from API,https://mininghub.com/project/beatrice-south/16091,URL exists but project not found in API response
7649,Project,In URL file but missing from API,https://mininghub.com/project/jambreiro/7649,URL exists but project not found in API response
17551,Project,In URL file but missing from API,https://mininghub.com/project/rossingburg/17551,URL exists but project not found in API response
17580,Project,In URL file but missing from API,https://mininghub.com/project/tres-corrego/17580,URL exists but project not found in API response
17823,Project,In URL file but missing from API,https://mininghub.com/project/kassa-est/17823,URL exists but project not found in API response
